Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R01.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R02.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R03.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R04.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R05.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R06.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R07.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R08.d	F:\MS_data\CSF_Ringtrial\DIA\MS\RT_D_A_timsproDIA_R09.d
P01593;P01594	P01594;P01593	KV133_HUMAN;KVD33_HUMAN	IGKV1-33;IGKV1D-33	Immunoglobulin kappa variable 1D-33	64777.6	69367.8	75485.5	74698.8	71935.2	69427	69194.7	82036	64780.1
P01597;P04432	P04432;P01597	KV139_HUMAN;KVD39_HUMAN	IGKV1-39;IGKV1D-39	Immunoglobulin kappa variable 1-39	6512.66	7834.41	9524.66	7971.53	8754.26	10181.7	11709.4	9831.62	6011.97
P01599	A0A0C4DH72;P01599	KV117_HUMAN	IGKV1-17	Immunoglobulin kappa variable 1-17	31050.9	24947.5	24951.1	24954.6	27095.8	25221.1	35228.1	38121.2	49946.5
P01602	P01602	KV105_HUMAN	IGKV1-5	Immunoglobulin kappa variable 1-5	146795	149063	127078	137788	138118	134317	128638	137047	132741
P01619	P01619	KV320_HUMAN	IGKV3-20	Immunoglobulin kappa variable 3-20	7863.73	8183.11	7643.5	5687.02	5869.46	5110.06	12361	7752.77	11803.1
P01624	A0A075B6H7;P01624;A0A0C4DH55;A0A0C4DH90	KV315_HUMAN	IGKV3-15	Immunoglobulin kappa variable 3-15	39193.8	30579.5	25169.5	26714.4	27868.4	27854.6	26398.7	30070.4	34357.6
P01700	P01700	LV147_HUMAN	IGLV1-47	Immunoglobulin lambda variable 1-47	37610.2	29181.3	32078.7	31108.3	32707.7	32628.6	32812.8	37750.2	33402.3
P01703	P01703	LV140_HUMAN	IGLV1-40	Immunoglobulin lambda variable 1-40	58059.5	51682.7	54162.5	49728.7	50679.8	50835	51425	36530.8	27127.8
P01704	P01704	LV214_HUMAN	IGLV2-14	Immunoglobulin lambda variable 2-14	34917.8	28036.9	27563.6	25562.6	21672.1	27034.3	26436.1	24157.5	41132.2
P01714	P01714	LV319_HUMAN	IGLV3-19	Immunoglobulin lambda variable 3-19	53875.2	47331.2	52676.8	39948.1	49146.1	49723.2	48845.7	20950.1	36925.6
P01715	P01715	LV301_HUMAN	IGLV3-1	Immunoglobulin lambda variable 3-1	5566.16	4931.57	5033.67	5171.74	5396.32	4318.05	5364.17	4722.51	3468.31
P01717	P01717	LV325_HUMAN	IGLV3-25	Immunoglobulin lambda variable 3-25	20954	18105.3	17785.2	15656.1	18717.7	17695.2	17396.2	19173.9	19402.6
P01717;P01718	P01718;P01717	LV325_HUMAN;LV327_HUMAN	IGLV3-25;IGLV3-27	Immunoglobulin lambda variable 3-25	29185.4	36589.2	33604.9	36251.5	31361.8	33683.1	41036.7	36214.2	45174.4
P01718	P01718	LV327_HUMAN	IGLV3-27	Immunoglobulin lambda variable 3-27	568.945	410.428	621.037	697.775	602.145	847.93	786.157	767.754	684.083
P01721	P01721	LV657_HUMAN	IGLV6-57	Immunoglobulin lambda variable 6-57	25277.7	20127.6	14242.7	22261.6	21505.9	28092.4	21378	26353.7	24343.2
P01743	P01743	HV146_HUMAN	IGHV1-46	Immunoglobulin heavy variable 1-46	8762.71	8369.17	8311.02	8161.41	6944.96	7875.89	5606.76	7029.27	9809.23
P01764	P01764	HV323_HUMAN	IGHV3-23	Immunoglobulin heavy variable 3-23	11543.3	11047.6	11670.1	11584.6	11338.4	9285.69	8253.17	9894.54	10837.5
P01766;P01780	A0A075B7F0;P01762;P0DP04;P01780;S4R460;A0A0C4DH32;P01782;P01766;A0A0B4J1X8;A0A0B4J1V1;P01763	HV307_HUMAN;HV313_HUMAN	IGHV3-13;IGHV3-7	Immunoglobulin heavy variable 3-13	31847.7	40692.5	37539.4	39887.3	38633.3	38868.1	31444.4	29751.4	31185.3
P01767	P01767	HV353_HUMAN	IGHV3-53	Immunoglobulin heavy variable 3-53	848.587		849.362	1098	1844.45		961.725	1720.93	964.189
P01768;P0DP02;P0DP03	P0DP03;P01768;A0A0J9YY99;P0DP02;P01772	HV330_HUMAN;HVC05_HUMAN;HVC33_HUMAN	IGHV3-30;IGHV3-30-3;IGHV3-30-5	Immunoglobulin heavy variable 3-30	16746	8360.51	8535.73	9505.52	7254	6844.25	6130.56	15292.8	8515.58
P01780	P01780	HV307_HUMAN	IGHV3-7	Immunoglobulin heavy variable 3-7	25671	20493	23681.1	19165	28810.8	17906.8	19313	18707.6	116017
P01782;P0DP04	P0DP04;P01782	HV309_HUMAN;HV43D_HUMAN	IGHV3-43D;IGHV3-9	Immunoglobulin heavy variable 3-9	8920.17	8946.76	8602.88	9005.54	7973.45	7897.99	10190.3	8824.44	7268.46
P01817	P01817	HV205_HUMAN	IGHV2-5	Immunoglobulin heavy variable 2-5	642.804	646.162	852.173	654.979	404.564		771.14		1835.43
P01833	P01833	PIGR_HUMAN	PIGR	Polymeric immunoglobulin receptor	3126.16	2895.96	1736.61	1694.82	2705.02	2131.46	2432.33	2508.26	3790.76
P01834	P01834	IGKC_HUMAN	IGKC	Immunoglobulin kappa constant	1.01881e+06	906878	933565	889870	870165	894312	925922	1.00126e+06	1.27175e+06
P01857	P01857	IGHG1_HUMAN	IGHG1	Immunoglobulin heavy constant gamma 1	2.25838e+06	2.26564e+06	2.29544e+06	2.26941e+06	2.28514e+06	2.21438e+06	2.19317e+06	2.25176e+06	2.77182e+06
P01857;P01859	P01857;P01859	IGHG1_HUMAN;IGHG2_HUMAN	IGHG1;IGHG2	Immunoglobulin heavy constant gamma 1	99229.2	102062	106716	107730	110587	116970	120881	115745	106808
P01857;P01859;P01860	P01857;P01859;P01860	IGHG1_HUMAN;IGHG2_HUMAN;IGHG3_HUMAN	IGHG1;IGHG2;IGHG3	Immunoglobulin heavy constant gamma 1	906625	799750	916594	852973	883300	891795	830331	731751	954884
P01857;P01859;P01860;P01861	P01861;P01857;P01859;P01860	IGHG1_HUMAN;IGHG2_HUMAN;IGHG3_HUMAN;IGHG4_HUMAN	IGHG1;IGHG2;IGHG3;IGHG4	Immunoglobulin heavy constant gamma 1	14276.7	20040.9	16620.4	17251.4	18172.7	14281.1	14415.6	14657.5	49277.1
P01857;P01860	P01857;P01860	IGHG1_HUMAN;IGHG3_HUMAN	IGHG1;IGHG3	Immunoglobulin heavy constant gamma 1	67533.1	82803.8	81688	83710.6	73099.9	81388.7	73193	60366.1	102213
P01857;P01860;P01861	P01861;P01857;P01860	IGHG1_HUMAN;IGHG3_HUMAN;IGHG4_HUMAN	IGHG1;IGHG3;IGHG4	Immunoglobulin heavy constant gamma 1	294988	287224	293383	315765	309595	339981	302534	303755	338705
P01857;P01861	P01861;P01857	IGHG1_HUMAN;IGHG4_HUMAN	IGHG1;IGHG4	Immunoglobulin heavy constant gamma 1	15765.8	18127.7	12101.3	8393.81	8836.46	9861.3	16011.8	17767.5	70954.9
P01859	P01859	IGHG2_HUMAN	IGHG2	Immunoglobulin heavy constant gamma 2	561979	548462	537474	535088	513621	457899	509717	525276	551596
P01859;P01860	P01859;P01860	IGHG2_HUMAN;IGHG3_HUMAN	IGHG2;IGHG3	Immunoglobulin heavy constant gamma 2	536309	428590	473713	402356	371419	424275	335523	330721	749135
P01859;P01860;P01861	P01861;P01859;P01860	IGHG2_HUMAN;IGHG3_HUMAN;IGHG4_HUMAN	IGHG2;IGHG3;IGHG4	Immunoglobulin heavy constant gamma 2	659800	683451	618791	640388	718261	611208	723000	685379	1.05781e+06
P01859;P01861	P01861;P01859	IGHG2_HUMAN;IGHG4_HUMAN	IGHG2;IGHG4	Immunoglobulin heavy constant gamma 2	1790.52	2306.78	1118.68	1756	882.971	804.313		1540.55	5264.19
P01860	P01860	IGHG3_HUMAN	IGHG3	Immunoglobulin heavy constant gamma 3	1.13795e+06	1.13084e+06	1.06303e+06	1.09472e+06	1.108e+06	1.11819e+06	1.12995e+06	1.06142e+06	1.14924e+06
P01861	P01861	IGHG4_HUMAN	IGHG4	Immunoglobulin heavy constant gamma 4	421417	410485	423186	352827	337079	392854	319562	348249	377815
P01871	P01871	IGHM_HUMAN	IGHM	Immunoglobulin heavy constant mu	134172	120267	117696	122416	116283	123824	120625	117940	184508
P01876	P01876	IGHA1_HUMAN	IGHA1	Immunoglobulin heavy constant alpha 1	215588	206357	203055	201132	197049	193283	196207	205112	233834
P01876;P01877	P01876;P01877	IGHA1_HUMAN;IGHA2_HUMAN	IGHA1;IGHA2	Immunoglobulin heavy constant alpha 1	397183	347133	313040	287359	352605	397624	247513	228433	147838
P01877	P01877	IGHA2_HUMAN	IGHA2	Immunoglobulin heavy constant alpha 2	6724.44	15496.6	9833.84	11921.3	8304.35	14260.1	16625.2	15478.2	22727.9
P01880	P01880	IGHD_HUMAN	IGHD	Immunoglobulin heavy constant delta	4411.61	4956.36	3803.71	4610.18	5066.89	4936.69	4413.77	3784.47	4348.48
P01889	P01889	HLAB_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain	4523.16	5337.29	6537.35	5691.65	7646.43	6859.8	6785.59	5462.74	7122.12
P01889;P04439;P10321	P01889;P04439;P10321;P01893	HLAA_HUMAN;HLAB_HUMAN;HLAC_HUMAN	HLA-A;HLA-B;HLA-C	HLA class I histocompatibility antigen, B alpha chain	4546.91							3232.43	6700.47
P01889;P10321	P01889;P10321	HLAB_HUMAN;HLAC_HUMAN	HLA-B;HLA-C	HLA class I histocompatibility antigen, B alpha chain	30380.3		26343.9		18969.2	3704.59			
P01903	P01906;A0A0G2JMH6;P01903	DRA_HUMAN	HLA-DRA	HLA class II histocompatibility antigen, DR alpha chain	1460.69	1556.93	1487.99	1109.1	1642.86	584.834	1407.28	1028.24	1401.6
P02042	P02042	HBD_HUMAN	HBD	Hemoglobin subunit delta	21358.9	20621.6	21209.7	19391	19853.5	21037	19916.4	16728.3	14310.4
P02042;P68871	P02042;P68871	HBB_HUMAN;HBD_HUMAN	HBB;HBD	Hemoglobin subunit delta	691051	686293	686371	723767	716343	668808	691105	704948	787473
P02144	P02144	MYG_HUMAN	MB	Myoglobin	4744.04	3245.15	4389.38	3815.97	3372.24	4129.39	5076.49	4394.4	3756.29
P02452	P02452	CO1A1_HUMAN	COL1A1	Collagen alpha-1(I) chain	152669	149963	145673	159723	150313	144029	128650	132060	143438
P02461	P02461	CO3A1_HUMAN	COL3A1	Collagen alpha-1(III) chain	15088.1	15251.2	14951.1	14477.8	15388.4	14893.2	14340.2	14530.8	14882.4
P02462	P29400;P02462	CO4A1_HUMAN	COL4A1	Collagen alpha-1(IV) chain	3725.16	2217.55	2539.86	2549.76	3681.63	3035.94	2394.31	1588.73	2890.81
P02533	P02533	K1C14_HUMAN	KRT14	Keratin, type I cytoskeletal 14	8765.71	5780.39	8448.21	7699.37	7169.73	7605.36	8971.99	7872.51	7421.36
P02533;P08779	P08779;P02533;Q04695	K1C14_HUMAN;K1C16_HUMAN	KRT14;KRT16	Keratin, type I cytoskeletal 14	4136.86	3427.1	2922.78	2923.3	2779.5	4641.96	2988.07	2516.27	2596.2
P02533;P08779;P13645	Q7Z3Y7;Q7Z3Y8;Q7Z3Y9;P08779;P13645;P02533;Q7Z3Z0	K1C10_HUMAN;K1C14_HUMAN;K1C16_HUMAN	KRT10;KRT14;KRT16	Keratin, type I cytoskeletal 14	100093	98413.8	88014.6	89833.4	85807.1	92135.7	103570	111049	262004
P02533;P08779;P13645;P35527	P35527;P08727;P19012;P08779;P13645;P02533;Q04695;Q99456	K1C10_HUMAN;K1C14_HUMAN;K1C16_HUMAN;K1C9_HUMAN	KRT10;KRT14;KRT16;KRT9	Keratin, type I cytoskeletal 14	1629.43	1518.27	1578.31	960.468	1388.62	2050.88	1723.58	3867.77	
P02533;P13645	P08727;P19012;P08779;P13645;P02533;Q04695;Q99456	K1C10_HUMAN;K1C14_HUMAN	KRT10;KRT14	Keratin, type I cytoskeletal 14	3587.14	3600.08	758.068	878.153	3109.08	3682.12	4881.22	6098.35	4159.55
P02538;P04259;P48668	P04259;O95678;P48668;P02538	K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN	KRT6A;KRT6B;KRT6C	Keratin, type II cytoskeletal 6A	4015.43	2471.53	2251.74	2219.82	3731.85	2556.54	3385.35	2253.03	4740.72
P02647	P02647	APOA1_HUMAN	APOA1	Apolipoprotein A-I	4.33176e+06	4.21199e+06	4.21479e+06	4.2951e+06	4.18662e+06	4.23942e+06	4.1031e+06	4.00468e+06	4.47047e+06
P02649	P02649	APOE_HUMAN	APOE	Apolipoprotein E	1.38887e+06	1.33223e+06	1.35258e+06	1.30394e+06	1.29919e+06	1.31047e+06	1.26092e+06	1.25732e+06	1.4856e+06
P02652	P02652	APOA2_HUMAN	APOA2	Apolipoprotein A-II	842908	862148	894372	673199	931815	901621	857367	894767	1.58884e+06
P02654	P02654	APOC1_HUMAN	APOC1	Apolipoprotein C-I	109249	111719	119808	110286	110454	110950	101560	112828	122215
P02655	P02655	APOC2_HUMAN	APOC2	Apolipoprotein C-II	12932.9	13733.4	14698.6	14586.5	15605.2	14913.5	12357.3	12705.1	11275.7
P02656	P02656	APOC3_HUMAN	APOC3	Apolipoprotein C-III	119443	108236	87298.4	79846.5	105203	75726.1	76352.8	78776.8	83345.1
P02671	P02671	FIBA_HUMAN	FGA	Fibrinogen alpha chain	468854	468069	464523	481697	492707	464093	469980	467925	418218
P02675	P02675	FIBB_HUMAN	FGB	Fibrinogen beta chain	287162	286564	292146	284986	276387	273012	273317	274036	281905
P02679	P02679	FIBG_HUMAN	FGG	Fibrinogen gamma chain	276175	287083	280088	282957	277405	285908	281320	295177	350085
P02686	P02686	MBP_HUMAN	MBP	Myelin basic protein	1073.39	3941.7	3994.39	1257.76	3266.89	2664.44			
P02741	P02741	CRP_HUMAN	CRP	C-reactive protein	1608.82	1509.17	980.754	1196.93	942.419	1152.36	891.701	597.07	1619.56
P02743	P02743	SAMP_HUMAN	APCS	Serum amyloid P-component	508.612	516.102	1112.07	526.646	631.121	1442.37	744.076	1134.74	1101.58
P02745	P02745	C1QA_HUMAN	C1QA	Complement C1q subcomponent subunit A	47892.4	50391.9	47454	55828.9	45818.7	48367	36840.6	43584.3	39057.9
P02746	P02746	C1QB_HUMAN	C1QB	Complement C1q subcomponent subunit B	204672	212147	203582	203850	211528	220703	212468	218293	175781
P02747	P02747	C1QC_HUMAN	C1QC	Complement C1q subcomponent subunit C	130987	130687	120344	125207	118085	122079	130078	141371	144279
P02748	P02748	CO9_HUMAN	C9	Complement component C9	202711	203100	196557	185011	195131	206345	202361	201793	198612
P02749	P02749	APOH_HUMAN	APOH	Beta-2-glycoprotein 1	947585	959778	937431	925493	962433	963332	946452	996884	967946
P02750	P02750	A2GL_HUMAN	LRG1	Leucine-rich alpha-2-glycoprotein	604331	651624	648298	641832	636409	495910	585984	598152	578254
P02751	P02751	FINC_HUMAN	FN1	Fibronectin	706951	703986	680429	684901	708297	698470	697697	704263	703849
P02753	P02753	RET4_HUMAN	RBP4	Retinol-binding protein 4	645503	659951	650827	640777	630289	624251	583255	578061	509359
P02760	P02760	AMBP_HUMAN	AMBP	Protein AMBP	450475	440412	435531	423528	447757	419590	429200	449398	457585
P02763	P02763	A1AG1_HUMAN	ORM1	Alpha-1-acid glycoprotein 1	383522	375739	374646	371076	376154	377321	374126	380182	376409
P02763;P19652	P19652;P02763	A1AG1_HUMAN;A1AG2_HUMAN	ORM1;ORM2	Alpha-1-acid glycoprotein 1	574856	601487	578738	578566	637016	606994	596030	610746	588078
P02765	P02765	FETUA_HUMAN	AHSG	Alpha-2-HS-glycoprotein	508466	479093	489669	500573	498557	516509	502940	506097	535121
P02766	P02766	TTHY_HUMAN	TTR	Transthyretin	1.82119e+06	1.74035e+06	1.81696e+06	1.75122e+06	1.81993e+06	1.80384e+06	1.68328e+06	1.6406e+06	1.69074e+06
P02768	P02768	ALBU_HUMAN	ALB	Albumin	2.52764e+06	2.53569e+06	2.49254e+06	2.46151e+06	2.45684e+06	2.47921e+06	2.47509e+06	2.43476e+06	2.40606e+06
P02774	P02774	VTDB_HUMAN	GC	Vitamin D-binding protein	1.94577e+06	1.92135e+06	1.9032e+06	1.84835e+06	1.89369e+06	1.83191e+06	1.8525e+06	1.81297e+06	1.95163e+06
P02775	P02775	CXCL7_HUMAN	PPBP	Platelet basic protein	215.13	259.342	1151.21	1435.76	1492.13	1546.29	1337.17	1259.9	319.219
P02778	P02778	CXL10_HUMAN	CXCL10	C-X-C motif chemokine 10	4377.33	3188.93	4075.55	3559.8	3314.81	5724.82	6150.04	4140.09	5156.02
P02786	P02786	TFR1_HUMAN	TFRC	Transferrin receptor protein 1	7884.37	6606.41	7626.4	6746.95	7807.37	7109.82	7238.36	8073.96	8652.85
P02787	P02787	TRFE_HUMAN	TF	Serotransferrin	1.46232e+06	1.44654e+06	1.43105e+06	1.40981e+06	1.37803e+06	1.36476e+06	1.33699e+06	1.31024e+06	1.4199e+06
P02788	P02788	TRFL_HUMAN	LTF	Lactotransferrin	12726.3	13687.3	13888.5	15499	13039.2	16096.6	14055.5	13980.9	13889
P02790	P02790	HEMO_HUMAN	HPX	Hemopexin	1.48088e+06	1.44338e+06	1.47247e+06	1.41223e+06	1.41407e+06	1.41648e+06	1.41827e+06	1.44378e+06	1.46279e+06
P02794	P02794	FRIH_HUMAN	FTH1	Ferritin heavy chain	4146.4	4801.43	4163.61	3109.11	4280.93	3902.19	4288.83	3593.34	3712.88
P03950	P03950	ANGI_HUMAN	ANG	Angiogenin	28665.6	29386.5	30578	31231.7	30553.1	33808.6	28803.8	32760.6	31577.5
P03951	P03951	FA11_HUMAN	F11	Coagulation factor XI	8758.24	9216.54	7809.37	7265.54	7896.31	9626.12	8391.96	8504.34	9390.78
P03952	P03952	KLKB1_HUMAN	KLKB1	Plasma kallikrein	60963.5	61596.6	59305.3	61766.6	61521.3	59790.1	58608.4	58448.9	67409.9
P03973	P03973	SLPI_HUMAN	SLPI	Antileukoproteinase	35453.6	29942.2	35666	30676.6	35368	29720.8	30151.2		
P04003	P04003	C4BPA_HUMAN	C4BPA	C4b-binding protein alpha chain	18132	17546.7	17927.1	17025.4	17704.6	16583.6	16198.3	17200.8	20173
P04004	P04004	VTNC_HUMAN	VTN	Vitronectin	1.1952e+06	1.11069e+06	1.0475e+06	1.04592e+06	1.07789e+06	988844	1.00078e+06	1.06338e+06	1.25774e+06
P04040	P04040	CATA_HUMAN	CAT	Catalase	4817.57	4698.72	5016.03	4791.46	4748.46	4708.02	5721.39	5323.94	5302.18
P04062	P04062	GLCM_HUMAN	GBA	Lysosomal acid glucosylceramidase	2107.1	3337.82	4424.1	4055.38	3968.07	3904.8	3316.51	4019.42	3267.98
P04066	P04066	FUCO_HUMAN	FUCA1	Tissue alpha-L-fucosidase	52878.4	57556.8	56119.3	53862.6	55406.5	56274.7	56237	54914.5	60227.6
P04070	P04070	PROC_HUMAN	PROC	Vitamin K-dependent protein C	24777.8	26519.1	26996.5	27138.9	25822.9	27910.5	27258.7	28618.7	23089.6
P04075	P04075	ALDOA_HUMAN	ALDOA	Fructose-bisphosphate aldolase A	57143.5	54808.4	53767.3	57737.9	53882.9	60627	56962.1	57786.9	57111.8
P04075;P09972	P09972;P04075	ALDOA_HUMAN;ALDOC_HUMAN	ALDOA;ALDOC	Fructose-bisphosphate aldolase A	17051.8	17771.6	15696.7	11401.7	10125	9891.27	13624.9	13267.4	19663.6
P04080	P04080	CYTB_HUMAN	CSTB	Cystatin-B	3730.08	3198.53	2891.83	3020.64	2322.37	2388.12	2113.68	2393.18	3540.47
P04083	P04083	ANXA1_HUMAN	ANXA1	Annexin A1	2261.49	1572.51	1159.5	1337.77	1489.3	1327.73	1859.67	968.974	1010.62
P04085	P04085	PDGFA_HUMAN	PDGFA	Platelet-derived growth factor subunit A	22805.2	20776.9	23141.3	20025.7	23945	31568.3	29474.8	28902.8	19511.2
P04114	P04114	APOB_HUMAN	APOB	Apolipoprotein B-100	39655.1	38367.2	40122	41236.6	39520.5	39886.1	39895	39335.8	41275.4
P04155	P04155	TFF1_HUMAN	TFF1	Trefoil factor 1	2483.28	2956.18	1779.08	1741.51	2063.4	1866.43	2300.32	2079.09	2122.97
P04156	P04156	PRIO_HUMAN	PRNP	Major prion protein	212433	214850	210949	215348	206871	207123	203715	184596	218249
P04179	P04179	SODM_HUMAN	SOD2	Superoxide dismutase [Mn], mitochondrial	19795.2	18756.2	22244.3	21506.9	17541.2	21402.8	20876.2	17950.5	27252.8
P04180	P04180	LCAT_HUMAN	LCAT	Phosphatidylcholine-sterol acyltransferase	46253.1	46667.3	43316	45186.6	41410	45015.8	40826.5	42615.3	44738
P04196	P04196	HRG_HUMAN	HRG	Histidine-rich glycoprotein	218785	219740	221323	220424	223262	224509	223304	206749	234496
P04216	P04216	THY1_HUMAN	THY1	Thy-1 membrane glycoprotein	401760	386372	382271	399995	389129	391399	382968	381339	449735
P04217	P04217	A1BG_HUMAN	A1BG	Alpha-1B-glycoprotein	364108	359887	369651	357495	369952	360502	358180	377608	360317
P04233	P04233	HG2A_HUMAN	CD74	HLA class II histocompatibility antigen gamma chain	41673.7	36489.8	33264.1	52899.3	50627.1	45398.8	46458.8	41393.4	40967.7
P04264	P04264;P04259	K2C1_HUMAN	KRT1	Keratin, type II cytoskeletal 1	280258	285974	288910	294313	293271	300497	292280	296325	326252
P04264;P05787;P13647	P04264;P13647;P04259;Q5XKE5;P05787;P48668;P02538	K2C1_HUMAN;K2C5_HUMAN;K2C8_HUMAN	KRT1;KRT5;KRT8	Keratin, type II cytoskeletal 1		13748.7	10499	15502.4	9249.53	11428.9			3553.5
P04264;P13647;P35908;Q7Z794	P04264;P13647;Q7Z794;P12035;P04259;Q5XKE5;P05787;O95678;P35908;P48668;Q01546;P02538	K22E_HUMAN;K2C1B_HUMAN;K2C1_HUMAN;K2C5_HUMAN	KRT1;KRT2;KRT5;KRT77	Keratin, type II cytoskeletal 1		25663.4		14290.4		23826.6			
P04264;P35908;Q7Z794	P04264;Q7Z794;P35908	K22E_HUMAN;K2C1B_HUMAN;K2C1_HUMAN	KRT1;KRT2;KRT77	Keratin, type II cytoskeletal 1	45488.2	78256.4	77921.5	86548	71650.7	69526.5	9369.9	47290.2	82040.9
P04271	P04271	S100B_HUMAN	S100B	Protein S100-B	5087.58	6325.3	5911	5690.15	5884.42	5224.28	5208.92	5281.53	5460.42
P04275	P04275	VWF_HUMAN	VWF	von Willebrand factor	9023.07	8872.16	10450.3	10378.4	9804.75	10074.9	8931.47	9680.35	9435.02
P04278	P04278	SHBG_HUMAN	SHBG	Sex hormone-binding globulin	33115.3	29454.3	31451.9	32096	27405.1	31505.3	27538.9	28195.6	29354.8
P04406	P04406	G3P_HUMAN	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	22050.2	22295.6	20631.8	20981.6	20468.2	22180.4	20621.7	23219.1	25830.6
P04430	P04430	KV116_HUMAN	IGKV1-16	Immunoglobulin kappa variable 1-16	15721.5	16553.3	15535.4	17033	16211.2	13966.1	16428.9	17187.8	15396.1
P04439	P04439	HLAA_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain	4421.15	5281.63	4930.65	3757.1	3187.3	4075.79	3988.13	3479.57	5757.12
P04439;P10321	P04439;P10321;P01893	HLAA_HUMAN;HLAC_HUMAN	HLA-A;HLA-C	HLA class I histocompatibility antigen, A alpha chain	9596.58	10753.7	9300.12	9422.37	10401.5	10481.3	9260.85	10951.9	7936.25
P04844	P04844	RPN2_HUMAN	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	1219.47	1082.35	1203.25	845.359	1658.9	1350.02	1267.11	1505.89	743.228
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1	Q99878;P04908;Q93077;Q96KK5;P0C0S8;P20671;Q6FI13;Q7L7L0;Q16777;Q9BTM1	H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2A3_HUMAN;H2AJ_HUMAN	H2AC12;H2AC14;H2AC17;H2AC19;H2AC20;H2AC6;H2AC7;H2AC8;H2AJ;H2AW	Histone H2A type 1-B/E	6691.88	1468.94	1739.44	1472.71	1144.34	1645.75	1728.19	1128.54	2137.35
P04908;P0C0S8;P20671;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1	Q99878;P04908;Q93077;Q96KK5;P0C0S8;P20671;Q8IUE6;Q7L7L0;P16104;Q9BTM1	H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A3_HUMAN;H2AJ_HUMAN	H2AC12;H2AC14;H2AC17;H2AC6;H2AC7;H2AC8;H2AJ;H2AW	Histone H2A type 1-B/E				287.192			109.695		100.919
P05019	P05019	IGF1_HUMAN	IGF1	Insulin-like growth factor I	7314.03	7835.05	6489.24	7052.4	7294.81	5356.14	8365.25	7332.07	4417.86
P05023	P05023	AT1A1_HUMAN	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	1529.06	1561.21	1385.94	1363.11	1201.04	790.071	1318.81	1334.05	1239.09
P05023;P13637;P50993	P05023;P13637;P50993;P20648	AT1A1_HUMAN;AT1A2_HUMAN;AT1A3_HUMAN	ATP1A1;ATP1A2;ATP1A3	Sodium/potassium-transporting ATPase subunit alpha-1	2444.39	2120.54	2883.69	2019.45	2241.93	1648.77	2694.36	1341.82	991.812
P05026	P05026	AT1B1_HUMAN	ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1	8461.75	7715.42	8459.8	7918.37	9595.02	8483.76	8073.82	9707.92	10056.8
P05060	P05060	SCG1_HUMAN	CHGB	Secretogranin-1	1.23784e+06	1.25401e+06	1.24515e+06	1.22287e+06	1.24534e+06	1.26171e+06	1.14945e+06	1.1692e+06	1.1784e+06
P05067	P05067	A4_HUMAN	APP	Amyloid-beta precursor protein	557556	548785	545755	544102	543670	558341	543945	551717	544937
P05067;Q06481	P05067;Q06481	A4_HUMAN;APLP2_HUMAN	APLP2;APP	Amyloid-beta precursor protein	18392.4	13775.3	12578.7	14236.2	12911.9	14464.9	17278.7	20353.4	34731.2
P05089	P05089	ARGI1_HUMAN	ARG1	Arginase-1	3057.13	2730.19	3848.66	3772.08	3477.35	3814.22	3788.05	2704.45	2513.04
P05090	P05090	APOD_HUMAN	APOD	Apolipoprotein D	1.30461e+06	1.3436e+06	1.30813e+06	1.29441e+06	1.23135e+06	1.25452e+06	1.18556e+06	1.15897e+06	1.50286e+06
P05107	P05107	ITB2_HUMAN	ITGB2	Integrin beta-2	2397.58	2337.67	2692.98	2569.12	2186.81	1760.07	3613.23	2367.69	3000.23
P05154	P05154	IPSP_HUMAN	SERPINA5	Plasma serine protease inhibitor	39954.1	39592.4	40341.5	37188.8	42416.1	40168.8	39770.4	40231.6	43814.7
P05155	P05155	IC1_HUMAN	SERPING1	Plasma protease C1 inhibitor	472041	507813	484189	491984	500305	497820	491100	494806	559320
